index,country,year,wealth_index,is_urban,households,latitude,longitude,is_poorest,RGB_prob_is_poorest,SWIR1_prob_is_poorest,TEMP1_prob_is_poorest,NIGHTLIGHTS_prob_is_poorest,NIR_prob_is_poorest,SWIR2_prob_is_poorest
lesotho_2014_00-254,lesotho,2014.0,0.9835581183433532,1.0,24.0,-28.90904235839844,27.9365291595459,0,0.06264305859804153,0.12783034145832062,0.18797709047794342,0.036982011049985886,0.07113602757453918,0.1437538117170334
burkina_faso_2010_00-162,burkina_faso,2010.0,-0.6040686964988708,0.0,25.0,11.163128852844238,-3.322227954864502,1,0.39955970644950867,0.30328547954559326,0.3157300353050232,0.6569193601608276,0.22837267816066742,0.3840600848197937
mali_2012_00-381,mali,2012.0,-0.3718231618404388,0.0,25.0,11.877264022827148,-6.966145992279053,0,0.32630375027656555,0.7047982811927795,0.39854973554611206,0.193971648812294,0.1895686388015747,0.4539342224597931
lesotho_2009_00-237,lesotho,2009.0,-0.1107021868228912,0.0,23.0,-29.518770217895508,28.033241271972656,0,0.5005577206611633,0.4508793354034424,0.24960918724536896,0.6569193601608276,0.3467412292957306,0.5498893857002258
zimbabwe_2010_00-125,zimbabwe,2010.0,-0.7496855854988098,0.0,28.0,-16.21761131286621,30.61045455932617,1,0.3218117654323578,0.5041791200637817,0.42565712332725525,0.6569193601608276,0.4978727400302887,0.3616417646408081
nigeria_2013_00-132,nigeria,2013.0,-0.5408329367637634,0.0,45.0,10.078749656677246,6.015912055969238,1,0.27072256803512573,0.36136502027511597,0.2368272840976715,0.16947835683822632,0.4550880491733551,0.41991716623306274
malawi_2014_00-127,malawi,2014.0,0.8118830919265747,1.0,25.0,-15.393400192260742,35.33173751831055,0,0.09386488795280457,0.12479912489652634,0.1886616200208664,0.02427195943892002,0.35283106565475464,0.0952141061425209
nigeria_2013_00-690,nigeria,2013.0,0.9866470098495485,1.0,45.0,6.770333766937256,6.3500847816467285,0,0.12716902792453766,0.27188172936439514,0.25140222907066345,0.14016123116016388,0.13827116787433624,0.1797943413257599
burkina_faso_2010_00-10,burkina_faso,2010.0,-0.2957169413566589,0.0,26.0,12.257957458496094,-1.5807249546051023,0,0.056911397725343704,0.0736171081662178,0.35679060220718384,0.07115349918603897,0.08659467846155167,0.10206922143697739
malawi_2015_00-274,malawi,2015.0,-0.6367446780204773,0.0,33.0,-13.628861427307127,33.680355072021484,1,0.18797796964645386,0.47023844718933105,0.43079543113708496,0.36079880595207214,0.5164062976837158,0.3436276316642761
